Depth,Name,Statistic,#Cells
> > > ,Specimen_001_240-616_1_014.fcs/live/BFP+,12450,
> > > ,Specimen_001_240-616_1_014.fcs/live/BFP+,1036,
> > > ,Specimen_001_240-616_1_014.fcs/live/BFP+,18039,
> > > ,Specimen_001_240-616_1_014.fcs/live/BFP+,1226,
> > > ,Specimen_001_240-616_1_014.fcs/live/BFP+,14659,
> > > ,Specimen_001_240-616_1_014.fcs/live/BFP+,959,
> > > ,"Specimen_001_240-616_1_014.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.043,2
> > > ,"Specimen_001_240-616_1_014.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",98.5,4566
> > > ,"Specimen_001_240-616_1_014.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",1.47,68
> > > ,"Specimen_001_240-616_1_014.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.022,1
,Specimen_001_240-616_2_015.fcs,,274340
> ,Specimen_001_240-616_2_015.fcs/live,65.9,180669
> > ,Specimen_001_240-616_2_015.fcs/live/BFP+,2.62,4733
> > > ,Specimen_001_240-616_2_015.fcs/live/BFP+,7847,
> > > ,Specimen_001_240-616_2_015.fcs/live/BFP+,537,
> > > ,Specimen_001_240-616_2_015.fcs/live/BFP+,10916,
> > > ,Specimen_001_240-616_2_015.fcs/live/BFP+,638,
> > > ,Specimen_001_240-616_2_015.fcs/live/BFP+,8300,
> > > ,Specimen_001_240-616_2_015.fcs/live/BFP+,500,
> > > ,"Specimen_001_240-616_2_015.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.085,4
> > > ,"Specimen_001_240-616_2_015.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",70.2,3323
> > > ,"Specimen_001_240-616_2_015.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",29.6,1403
> > > ,"Specimen_001_240-616_2_015.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.063,3
,Specimen_001_240-616_3_016.fcs,,265138
> ,Specimen_001_240-616_3_016.fcs/live,67.7,179417
> > ,Specimen_001_240-616_3_016.fcs/live/BFP+,3.99,7160
> > > ,Specimen_001_240-616_3_016.fcs/live/BFP+,5484,
> > > ,Specimen_001_240-616_3_016.fcs/live/BFP+,449,
> > > ,Specimen_001_240-616_3_016.fcs/live/BFP+,7533,
> > > ,Specimen_001_240-616_3_016.fcs/live/BFP+,519,
> > > ,Specimen_001_240-616_3_016.fcs/live/BFP+,5648,
> > > ,Specimen_001_240-616_3_016.fcs/live/BFP+,422,
> > > ,"Specimen_001_240-616_3_016.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.084,6
> > > ,"Specimen_001_240-616_3_016.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",53.1,3801
> > > ,"Specimen_001_240-616_3_016.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",46.8,3349
> > > ,"Specimen_001_240-616_3_016.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.056,4
,Specimen_001_500-616_1_017.fcs,,217924
> ,Specimen_001_500-616_1_017.fcs/live,64.5,140637
> > ,Specimen_001_500-616_1_017.fcs/live/BFP+,1.13,1583
> > > ,Specimen_001_500-616_1_017.fcs/live/BFP+,12251,
> > > ,Specimen_001_500-616_1_017.fcs/live/BFP+,810,
> > > ,Specimen_001_500-616_1_017.fcs/live/BFP+,18705,
> > > ,Specimen_001_500-616_1_017.fcs/live/BFP+,984,
> > > ,Specimen_001_500-616_1_017.fcs/live/BFP+,14806,
> > > ,Specimen_001_500-616_1_017.fcs/live/BFP+,748,
> > > ,"Specimen_001_500-616_1_017.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.13,2
> > > ,"Specimen_001_500-616_1_017.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",90.5,1433
> > > ,"Specimen_001_500-616_1_017.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",9.16,145
> > > ,"Specimen_001_500-616_1_017.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.19,3
,Specimen_001_500-616_2_018.fcs,,268062
> ,Specimen_001_500-616_2_018.fcs/live,66.4,178036
> > ,Specimen_001_500-616_2_018.fcs/live/BFP+,4.5,8006
> > > ,Specimen_001_500-616_2_018.fcs/live/BFP+,7251,
> > > ,Specimen_001_500-616_2_018.fcs/live/BFP+,527,
> > > ,Specimen_001_500-616_2_018.fcs/live/BFP+,10014,
> > > ,Specimen_001_500-616_2_018.fcs/live/BFP+,613,
> > > ,Specimen_001_500-616_2_018.fcs/live/BFP+,7628,
> > > ,Specimen_001_500-616_2_018.fcs/live/BFP+,494,
> > > ,"Specimen_001_500-616_2_018.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.062,5
> > > ,"Specimen_001_500-616_2_018.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",67.6,5413
